City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,whitehorse,60.7161,-135.0538,18.43,72,100,2.06,CA,1690145326
84,carauari,-4.8828,-66.8958,34.3,38,27,1.02,BR,1690145432
85,iskateley,67.6803,53.1512,15.22,93,100,3.12,RU,1690145314
86,udachny,66.4167,112.4,18.03,72,88,2.32,RU,1690145216
87,angaur state,6.906,134.13,27.89,78,96,9.16,PW,1690145803
88,college,64.8569,-147.8028,28.66,54,75,1.54,US,1690145335
89,timimoun,29.2639,0.231,40.21,12,56,2.57,DZ,1690145804
90,susuman,62.7833,148.1667,12.25,74,59,1.27,RU,1690145460
91,talakan,50.3167,130.3667,18.21,98,100,5.4,RU,1690145804
92,bonthe,7.5264,-12.505,25.44,86,100,3.66,SL,1690145804
93,isabela,6.7085,121.9711,25.62,90,100,1.74,PH,1690145805
94,nuuk,64.1835,-51.7216,7.61,86,25,2.94,GL,1690145806
95,hithadhoo,-0.6,73.0833,28.22,77,81,4.66,MV,1690145345
96,pontes e lacerda,-15.2261,-59.3353,31.05,23,0,0.83,BR,1690145806
97,bria,6.5423,21.9863,21.77,92,68,0.65,CF,1690145807
98,papatowai,-46.5619,169.4708,8.79,95,98,1.5,NZ,1690145319
99,chamical,-30.36,-66.314,17.1,26,61,5.44,AR,1690145460
100,chilaw,7.5758,79.7953,27.01,86,100,8.34,LK,1690145808
101,enewetak,11.3474,162.3373,28.56,78,67,8.87,MH,1690145171
102,minas de marcona,-15.2119,-75.1103,16.9,66,3,5.56,PE,1690145306
103,el calafate,-50.3408,-72.2768,-4.73,74,2,0.98,AR,1690145808
104,ostroleka,53.0862,21.5757,18.29,71,100,2.31,PL,1690145809
105,ilulissat,69.2167,-51.1,9.01,81,75,1.54,GL,1690145294
106,shaping,22.7545,112.9565,29.9,84,90,1.2,CN,1690145810
107,warrnambool,-38.3833,142.4833,12.04,79,100,4.2,AU,1690145810
108,panshan,41.1881,122.0494,21.1,97,3,2.14,CN,1690145810
109,rongelap,11.1635,166.8941,28.71,71,19,8.29,MH,1690145158
110,altai,46.3722,96.2583,14.46,37,4,0.73,MN,1690145363
111,witu,-2.3889,40.4382,24.09,88,54,4.69,KE,1690145811
112,avarua,-21.2078,-159.775,26.03,94,75,4.63,CK,1690145284
113,seguela,7.9611,-6.6731,22.91,92,95,1.19,CI,1690145812
114,kavieng,-2.5744,150.7967,27.77,79,89,5.1,PG,1690145812
115,campbell river,50.0163,-125.2446,21.21,52,100,1.54,CA,1690145813
116,alekseyevka,50.6309,38.6903,15.78,95,57,3.8,RU,1690145813
117,lagunas,-5.2269,-75.6753,33.25,41,47,0.74,PE,1690145787
118,mokrous,51.2333,47.5167,16.53,92,100,2.34,RU,1690145814
119,roma,43.2128,-75.4557,28.71,44,0,5.14,US,1690145747
120,altay,47.8667,88.1167,17.19,28,34,1.37,CN,1690145814
121,nili,33.7218,66.1302,23.31,25,19,0.96,AF,1690145815
122,prince george,53.9166,-122.753,21.25,57,20,1.54,CA,1690145815
123,tulun,54.5611,100.5792,13.24,96,100,3.14,RU,1690145815
124,thompson,55.7435,-97.8558,21.09,43,20,3.6,CA,1690145101
125,east end,34.5507,-92.341,34.23,50,42,1.74,US,1690145816
126,remire-montjoly,4.9167,-52.2667,29.02,74,20,0.51,GF,1690145800
127,nadym,65.5333,72.5167,16.62,77,7,2.98,RU,1690145816
128,camabatela,-8.1881,15.375,18.24,65,7,1.44,AO,1690145817
129,timbuktu,16.7735,-3.0074,34.54,37,57,5.21,ML,1690145817
130,brindisi,40.5833,17.6667,31.54,54,0,1.37,IT,1690145818
131,isafjordur,66.0755,-23.124,11.09,87,100,1.52,IS,1690145156
132,labasa,-16.4167,179.3833,24.89,75,19,2.27,FJ,1690145818
133,kapa'a,22.0752,-159.319,29.18,81,100,7.2,US,1690145389
134,itoman,26.1247,127.6694,29.01,82,40,3.6,JP,1690145819
135,puerto ayora,-0.7393,-90.3518,29.98,74,44,4.89,EC,1690145103
136,margaret river,-33.95,115.0667,9.58,81,0,4.32,AU,1690145304
137,acapulco de juarez,16.8634,-99.8901,32.9,58,40,3.6,MX,1690145278
138,lompoc,34.6391,-120.4579,32.08,69,75,3.6,US,1690145374
139,kuqa,41.7278,82.9364,30.22,26,99,1.86,CN,1690145821
140,fuerte olimpo,-21.0415,-57.8738,31.36,19,0,2.26,PY,1690145822
141,arraial do cabo,-22.9661,-42.0278,22.92,78,0,8.75,BR,1690145376
142,eyl,7.9803,49.8164,26.29,65,67,12.29,SO,1690145823
143,donggang,28.9365,114.2259,24.24,97,2,0.87,CN,1690145823
